O*NET-SOC Code,automation_15,automation_9,delta,delta_pct,Title
11-9199.01,2.03,2.03,0.0,0.0,Regulatory Affairs Managers
43-9011.00,2.89,2.89,0.0,0.0,Computer Operators
43-9021.00,3.18,3.18,0.0,0.0,Data Entry Keyers
47-2044.00,1.15,1.15,0.0,0.0,Tile and Marble Setters
43-9022.00,2.64,2.64,0.0,0.0,Word Processors and Typists
47-2043.00,1.86,1.86,0.0,0.0,Floor Sanders and Finishers
47-2042.00,1.59,1.59,0.0,0.0,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
17-2111.03,1.93,1.93,0.0,0.0,Product Safety Engineers
49-9012.00,2.01,2.01,0.0,0.0,"Control and Valve Installers and Repairers, Except Mechanical Door"
47-4071.00,2.14,2.14,0.0,0.0,Septic Tank Servicers and Sewer Pipe Cleaners
51-9194.00,3.97,3.97,0.0,0.0,Etchers and Engravers
51-9192.00,2.85,2.85,0.0,0.0,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
51-9141.00,2.83,2.83,0.0,0.0,Semiconductor Processors
51-9123.00,2.45,2.45,0.0,0.0,"Painting, Coating, and Decorating Workers"
51-9121.00,2.54,2.54,0.0,0.0,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
51-9071.07,2.01,2.01,0.0,0.0,Precious Metal Workers
51-9071.06,2.57,2.57,0.0,0.0,Gem and Diamond Workers
51-9071.01,1.75,1.75,0.0,0.0,Jewelers
51-9041.00,2.98,2.98,0.0,0.0,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-9032.00,2.82,2.82,0.0,0.0,"Cutting and Slicing Machine Setters, Operators, and Tenders"
51-9031.00,2.34,2.34,0.0,0.0,"Cutters and Trimmers, Hand"
11-3061.00,2.75,2.75,0.0,0.0,Purchasing Managers
51-9022.00,2.47,2.47,0.0,0.0,"Grinding and Polishing Workers, Hand"
51-9021.00,2.3,2.3,0.0,0.0,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
51-8093.00,3.43,3.43,0.0,0.0,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
51-8092.00,3.2,3.2,0.0,0.0,Gas Plant Operators
51-8031.00,2.87,2.87,0.0,0.0,Water and Wastewater Treatment Plant and System Operators
51-7032.00,1.74,1.74,0.0,0.0,"Patternmakers, Wood"
51-7031.00,1.6,1.6,0.0,0.0,"Model Makers, Wood"
51-7021.00,1.87,1.87,0.0,0.0,Furniture Finishers
51-6093.00,1.74,1.74,0.0,0.0,Upholsterers
51-6092.00,2.49,2.49,0.0,0.0,Fabric and Apparel Patternmakers
51-6091.00,3.02,3.02,0.0,0.0,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
51-6064.00,2.97,2.97,0.0,0.0,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
51-6063.00,2.6,2.6,0.0,0.0,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
51-6062.00,2.88,2.88,0.0,0.0,"Textile Cutting Machine Setters, Operators, and Tenders"
51-6061.00,3.04,3.04,0.0,0.0,Textile Bleaching and Dyeing Machine Operators and Tenders
51-6052.00,1.42,1.42,0.0,0.0,"Tailors, Dressmakers, and Custom Sewers"
51-9193.00,3.32,3.32,0.0,0.0,Cooling and Freezing Equipment Operators and Tenders
51-9195.05,1.84,1.84,0.0,0.0,"Potters, Manufacturing"
51-6042.00,1.52,1.52,0.0,0.0,Shoe Machine Operators and Tenders
51-9196.00,2.77,2.77,0.0,0.0,"Paper Goods Machine Setters, Operators, and Tenders"
53-7111.00,2.31,2.31,0.0,0.0,Mine Shuttle Car Operators
53-7073.00,2.95,2.95,0.0,0.0,Wellhead Pumpers
53-7072.00,2.99,2.99,0.0,0.0,"Pump Operators, Except Wellhead Pumpers"
53-7071.00,3.38,3.38,0.0,0.0,Gas Compressor and Gas Pumping Station Operators
53-7063.00,2.98,2.98,0.0,0.0,Machine Feeders and Offbearers
11-2022.00,2.62,2.62,0.0,0.0,Sales Managers
11-2031.00,2.07,2.07,0.0,0.0,Public Relations and Fundraising Managers
11-3011.00,2.53,2.53,0.0,0.0,Administrative Services Managers
53-7041.00,2.58,2.58,0.0,0.0,Hoist and Winch Operators
53-7033.00,2.31,2.31,0.0,0.0,"Loading Machine Operators, Underground Mining"
53-7031.00,3.0,3.0,0.0,0.0,Dredge Operators
53-7011.00,2.99,2.99,0.0,0.0,Conveyor Operators and Tenders
53-6051.08,2.17,2.17,0.0,0.0,Freight and Cargo Inspectors
53-6041.00,1.78,1.78,0.0,0.0,Traffic Technicians
53-6031.00,1.99,1.99,0.0,0.0,Automotive and Watercraft Service Attendants
53-6011.00,3.1,3.1,0.0,0.0,Bridge and Lock Tenders
53-5031.00,2.47,2.47,0.0,0.0,Ship Engineers
53-5022.00,1.88,1.88,0.0,0.0,Motorboat Operators
53-5011.00,1.81,1.81,0.0,0.0,Sailors and Marine Oilers
53-4041.00,2.74,2.74,0.0,0.0,Subway and Streetcar Operators
11-3021.00,2.16,2.16,0.0,0.0,Computer and Information Systems Managers
53-4021.00,1.96,1.96,0.0,0.0,"Railroad Brake, Signal, and Switch Operators"
53-4013.00,1.64,1.64,0.0,0.0,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
53-4012.00,1.65,1.65,0.0,0.0,Locomotive Firers
53-3011.00,2.03,2.03,0.0,0.0,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-1011.00,2.41,2.41,0.0,0.0,Aircraft Cargo Handling Supervisors
51-9197.00,3.2,3.2,0.0,0.0,Tire Builders
51-6051.00,1.74,1.74,0.0,0.0,"Sewers, Hand"
51-6041.00,1.29,1.29,0.0,0.0,Shoe and Leather Workers and Repairers
47-4091.00,2.61,2.61,0.0,0.0,Segmental Pavers
49-9093.00,1.87,1.87,0.0,0.0,"Fabric Menders, Except Garment"
49-9064.00,1.16,1.16,0.0,0.0,Watch Repairers
49-9063.00,1.2,1.2,0.0,0.0,Musical Instrument Repairers and Tuners
49-9045.00,1.72,1.72,0.0,0.0,"Refractory Materials Repairers, Except Brickmasons"
49-9031.00,1.76,1.76,0.0,0.0,Home Appliance Repairers
41-3011.00,2.62,2.62,0.0,0.0,Advertising Sales Agents
49-3091.00,1.49,1.49,0.0,0.0,Bicycle Repairers
49-3053.00,1.38,1.38,0.0,0.0,Outdoor Power Equipment and Other Small Engine Mechanics
49-3043.00,1.38,1.38,0.0,0.0,Rail Car Repairers
49-3042.00,1.54,1.54,0.0,0.0,"Mobile Heavy Equipment Mechanics, Except Engines"
49-3041.00,1.43,1.43,0.0,0.0,Farm Equipment Mechanics and Service Technicians
49-3023.01,1.4,1.4,0.0,0.0,Automotive Master Mechanics
49-3021.00,1.37,1.37,0.0,0.0,Automotive Body and Related Repairers
49-2097.00,1.84,1.84,0.0,0.0,Electronic Home Entertainment Equipment Installers and Repairers
49-2096.00,1.13,1.13,0.0,0.0,"Electronic Equipment Installers and Repairers, Motor Vehicles"
49-2095.00,2.52,2.52,0.0,0.0,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
49-2093.00,2.65,2.65,0.0,0.0,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
49-2092.00,2.39,2.39,0.0,0.0,"Electric Motor, Power Tool, and Related Repairers"
49-2022.00,1.47,1.47,0.0,0.0,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
47-5081.00,2.51,2.51,0.0,0.0,Helpers--Extraction Workers
47-5061.00,2.46,2.46,0.0,0.0,"Roof Bolters, Mining"
47-5051.00,1.83,1.83,0.0,0.0,"Rock Splitters, Quarry"
47-5042.00,2.9,2.9,0.0,0.0,Mine Cutting and Channeling Machine Operators
47-5041.00,2.49,2.49,0.0,0.0,Continuous Mining Machine Operators
47-5031.00,2.18,2.18,0.0,0.0,"Explosives Workers, Ordnance Handling Experts, and Blasters"
47-5021.00,1.7,1.7,0.0,0.0,"Earth Drillers, Except Oil and Gas"
47-5012.00,1.83,1.83,0.0,0.0,"Rotary Drill Operators, Oil and Gas"
47-5011.00,1.66,1.66,0.0,0.0,"Derrick Operators, Oil and Gas"
49-9091.00,2.68,2.68,0.0,0.0,"Coin, Vending, and Amusement Machine Servicers and Repairers"
49-9095.00,1.05,1.05,0.0,0.0,Manufactured Building and Mobile Home Installers
51-6031.00,2.61,2.61,0.0,0.0,Sewing Machine Operators
49-9096.00,1.6,1.6,0.0,0.0,Riggers
51-6021.00,2.0,2.0,0.0,0.0,"Pressers, Textile, Garment, and Related Materials"
51-4194.00,2.6,2.6,0.0,0.0,"Tool Grinders, Filers, and Sharpeners"
51-4193.00,2.59,2.59,0.0,0.0,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4192.00,1.83,1.83,0.0,0.0,"Layout Workers, Metal and Plastic"
51-4191.00,2.01,2.01,0.0,0.0,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
51-4072.00,2.85,2.85,0.0,0.0,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4071.00,2.58,2.58,0.0,0.0,Foundry Mold and Coremakers
51-4062.00,2.54,2.54,0.0,0.0,"Patternmakers, Metal and Plastic"
51-4061.00,2.3,2.3,0.0,0.0,"Model Makers, Metal and Plastic"
51-4052.00,2.5,2.5,0.0,0.0,"Pourers and Casters, Metal"
51-4051.00,2.85,2.85,0.0,0.0,Metal-Refining Furnace Operators and Tenders
51-4035.00,2.87,2.87,0.0,0.0,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4034.00,2.95,2.95,0.0,0.0,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4033.00,3.01,3.01,0.0,0.0,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4023.00,3.09,3.09,0.0,0.0,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4022.00,2.0,2.0,0.0,0.0,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4012.00,2.82,2.82,0.0,0.0,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
51-3091.00,3.19,3.19,0.0,0.0,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-3023.00,2.6,2.6,0.0,0.0,Slaughterers and Meat Packers
51-3022.00,2.28,2.28,0.0,0.0,"Meat, Poultry, and Fish Cutters and Trimmers"
51-3021.00,2.67,2.67,0.0,0.0,Butchers and Meat Cutters
51-2093.00,1.91,1.91,0.0,0.0,Timing Device Assemblers and Adjusters
51-2091.00,1.68,1.68,0.0,0.0,Fiberglass Laminators and Fabricators
51-2023.00,1.47,1.47,0.0,0.0,Electromechanical Equipment Assemblers
51-2021.00,2.69,2.69,0.0,0.0,"Coil Winders, Tapers, and Finishers"
11-3071.02,2.33,2.33,0.0,0.0,Storage and Distribution Managers
49-9097.00,2.44,2.44,0.0,0.0,Signal and Track Switch Repairers
41-3021.00,3.12,3.12,0.0,0.0,Insurance Sales Agents
53-7121.00,2.56,2.56,0.0,0.0,"Tank Car, Truck, and Ship Loaders"
41-2031.00,1.84,1.84,0.0,0.0,Retail Salespersons
27-2012.04,1.27,1.27,0.0,0.0,Talent Directors
27-3011.00,2.77,2.77,0.0,0.0,Radio and Television Announcers
27-2042.02,1.0,1.0,0.0,0.0,"Musicians, Instrumental"
27-2042.01,1.85,1.85,0.0,0.0,Singers
27-2041.04,1.51,1.51,0.0,0.0,Music Composers and Arrangers
27-2041.01,1.27,1.27,0.0,0.0,Music Directors
27-2032.00,1.16,1.16,0.0,0.0,Choreographers
27-2031.00,1.58,1.58,0.0,0.0,Dancers
27-2011.00,1.19,1.19,0.0,0.0,Actors
25-1191.00,1.76,1.76,0.0,0.0,Graduate Teaching Assistants
27-1025.00,2.11,2.11,0.0,0.0,Interior Designers
27-1024.00,1.9,1.9,0.0,0.0,Graphic Designers
27-1022.00,1.54,1.54,0.0,0.0,Fashion Designers
15-2011.00,2.97,2.97,0.0,0.0,Actuaries
27-1013.00,1.34,1.34,0.0,0.0,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1012.00,1.42,1.42,0.0,0.0,Craft Artists
25-4031.00,3.52,3.52,0.0,0.0,Library Technicians
27-3012.00,1.99,1.99,0.0,0.0,Public Address System and Other Announcers
27-3021.00,2.23,2.23,0.0,0.0,Broadcast News Analysts
27-3041.00,2.48,2.48,0.0,0.0,Editors
27-3043.04,1.49,1.49,0.0,0.0,Copy Writers
33-3021.01,2.18,2.18,0.0,0.0,Police Detectives
33-3012.00,1.88,1.88,0.0,0.0,Correctional Officers and Jailers
33-2022.00,1.75,1.75,0.0,0.0,Forest Fire Inspectors and Prevention Specialists
33-2021.01,1.77,1.77,0.0,0.0,Fire Inspectors
33-2011.01,1.81,1.81,0.0,0.0,Municipal Firefighters
33-1021.01,1.83,1.83,0.0,0.0,Municipal Fire Fighting and Prevention Supervisors
33-1012.00,2.21,2.21,0.0,0.0,First-Line Supervisors of Police and Detectives
13-2031.00,2.98,2.98,0.0,0.0,Budget Analysts
13-2041.00,2.48,2.48,0.0,0.0,Credit Analysts
29-1199.05,1.89,1.89,0.0,0.0,Orthoptists
13-2051.00,3.36,3.36,0.0,0.0,Financial Analysts
29-1125.00,1.77,1.77,0.0,0.0,Recreational Therapists
13-2053.00,3.04,3.04,0.0,0.0,Insurance Underwriters
27-4013.00,2.35,2.35,0.0,0.0,Radio Operators
27-3043.05,1.55,1.55,0.0,0.0,"Poets, Lyricists and Creative Writers"
25-4021.00,3.19,3.19,0.0,0.0,Librarians
15-2091.00,2.75,2.75,0.0,0.0,Mathematical Technicians
33-3041.00,2.13,2.13,0.0,0.0,Parking Enforcement Workers
17-3022.00,2.87,2.87,0.0,0.0,Civil Engineering Technicians
19-1031.02,2.54,2.54,0.0,0.0,Range Managers
19-1022.00,2.59,2.59,0.0,0.0,Microbiologists
19-1011.00,2.19,2.19,0.0,0.0,Animal Scientists
17-3031.01,2.75,2.75,0.0,0.0,Surveying Technicians
17-3029.09,2.73,2.73,0.0,0.0,Manufacturing Production Technicians
17-3029.06,2.46,2.46,0.0,0.0,Manufacturing Engineering Technologists
17-3027.00,2.14,2.14,0.0,0.0,Mechanical Engineering Technicians
17-3021.00,1.13,1.13,0.0,0.0,Aerospace Engineering and Operations Technicians
23-2093.00,2.89,2.89,0.0,0.0,"Title Examiners, Abstractors, and Searchers"
17-3013.00,2.76,2.76,0.0,0.0,Mechanical Drafters
17-3011.02,2.81,2.81,0.0,0.0,Civil Drafters
17-2199.07,2.12,2.12,0.0,0.0,Photonics Engineers
17-2199.04,2.55,2.55,0.0,0.0,Manufacturing Engineers
17-2199.03,2.27,2.27,0.0,0.0,Energy Engineers
17-2199.02,2.48,2.48,0.0,0.0,Validation Engineers
17-2121.01,1.95,1.95,0.0,0.0,Marine Engineers
19-1031.03,2.18,2.18,0.0,0.0,Park Naturalists
19-1041.00,2.03,2.03,0.0,0.0,Epidemiologists
17-2041.00,2.96,2.96,0.0,0.0,Chemical Engineers
19-2012.00,1.43,1.43,0.0,0.0,Physicists
23-2011.00,2.72,2.72,0.0,0.0,Paralegals and Legal Assistants
23-1011.00,2.65,2.65,0.0,0.0,Lawyers
21-1021.00,2.16,2.16,0.0,0.0,"Child, Family, and School Social Workers"
17-1022.00,2.61,2.61,0.0,0.0,Surveyors
19-4099.02,2.29,2.29,0.0,0.0,Precision Agriculture Technicians
19-4091.00,1.98,1.98,0.0,0.0,"Environmental Science and Protection Technicians, Including Health"
19-4061.01,1.65,1.65,0.0,0.0,City and Regional Planning Aides
19-4061.00,1.86,1.86,0.0,0.0,Social Science Research Assistants
19-4041.01,2.74,2.74,0.0,0.0,Geophysical Data Technicians
19-4021.00,1.85,1.85,0.0,0.0,Biological Technicians
19-3094.00,1.65,1.65,0.0,0.0,Political Scientists
19-3092.00,2.08,2.08,0.0,0.0,Geographers
19-3041.00,1.69,1.69,0.0,0.0,Sociologists
19-2099.01,2.88,2.88,0.0,0.0,Remote Sensing Scientists and Technologists
19-2031.00,2.46,2.46,0.0,0.0,Chemists
13-2011.02,3.16,3.16,0.0,0.0,Auditors
27-2021.00,1.72,1.72,0.0,0.0,Athletes and Sports Competitors
33-3051.01,2.3,2.3,0.0,0.0,Police Patrol Officers
33-9032.00,2.32,2.32,0.0,0.0,Security Guards
13-1199.01,1.79,1.79,0.0,0.0,Energy Auditors
13-1121.00,2.6,2.6,0.0,0.0,"Meeting, Convention, and Event Planners"
13-1111.00,2.23,2.23,0.0,0.0,Management Analysts
13-1081.00,2.5,2.5,0.0,0.0,Logisticians
13-1051.00,2.96,2.96,0.0,0.0,Cost Estimators
37-3013.00,1.52,1.52,0.0,0.0,Tree Trimmers and Pruners
39-1012.00,2.57,2.57,0.0,0.0,Slot Supervisors
33-9091.00,1.15,1.15,0.0,0.0,Crossing Guards
39-3011.00,2.26,2.26,0.0,0.0,Gaming Dealers
13-2011.01,3.19,3.19,0.0,0.0,Accountants
39-3092.00,1.53,1.53,0.0,0.0,Costume Attendants
39-3021.00,3.16,3.16,0.0,0.0,Motion Picture Projectionists
35-2013.00,1.57,1.57,0.0,0.0,"Cooks, Private Household"
33-9011.00,1.91,1.91,0.0,0.0,Animal Control Workers
39-5011.00,1.27,1.27,0.0,0.0,Barbers
41-1011.00,1.9,1.9,0.0,0.0,First-Line Supervisors of Retail Sales Workers
33-3052.00,1.71,1.71,0.0,0.0,Transit and Railroad Police
39-5012.00,1.45,1.45,0.0,0.0,"Hairdressers, Hairstylists, and Cosmetologists"
39-9032.00,1.99,1.99,0.0,0.0,Recreation Workers
39-5091.00,1.05,1.05,0.0,0.0,"Makeup Artists, Theatrical and Performance"
39-5093.00,1.8,1.8,0.0,0.0,Shampooers
13-1041.07,1.97,1.97,0.0,0.0,Regulatory Affairs Specialists
39-9011.01,1.11,1.11,0.0,0.0,Nannies
13-1041.04,2.73,2.73,0.0,0.0,Government Property Inspectors and Investigators
19-4051.02,2.06,2.07,-0.01,-0.0048309178744,Nuclear Monitoring Technicians
43-4071.00,2.03,2.04,-0.01,-0.00490196078431,File Clerks
25-9021.00,1.93,1.94,-0.01,-0.00515463917526,Farm and Home Management Advisors
25-3011.00,1.89,1.9,-0.01,-0.00526315789474,Adult Basic and Secondary Education and Literacy Teachers and Instructors
21-1014.00,1.89,1.9,-0.01,-0.00526315789474,Mental Health Counselors
47-2051.00,1.89,1.9,-0.01,-0.00526315789474,Cement Masons and Concrete Finishers
51-3093.00,3.13,3.15,-0.02,-0.00634920634921,Food Cooking Machine Operators and Tenders
13-2061.00,2.96,2.98,-0.02,-0.00671140939597,Financial Examiners
39-3012.00,2.76,2.78,-0.02,-0.00719424460432,Gaming and Sports Book Writers and Runners
17-2051.00,2.22,2.24,-0.02,-0.00892857142857,Civil Engineers
21-1022.00,1.83,1.85,-0.02,-0.0108108108108,Healthcare Social Workers
47-2131.00,1.69,1.71,-0.02,-0.0116959064327,"Insulation Workers, Floor, Ceiling, and Wall"
29-1123.00,1.59,1.61,-0.02,-0.0124223602484,Physical Therapists
29-1124.00,2.92,2.96,-0.04,-0.0135135135135,Radiation Therapists
19-4011.02,2.16,2.19,-0.03,-0.013698630137,Food Science Technicians
25-1041.00,1.97,2.0,-0.03,-0.015,"Agricultural Sciences Teachers, Postsecondary"
11-9081.00,2.53,2.57,-0.04,-0.0155642023346,Lodging Managers
51-8013.00,3.1,3.15,-0.05,-0.015873015873,Power Plant Operators
51-9111.00,3.09,3.14,-0.05,-0.015923566879,Packaging and Filling Machine Operators and Tenders
25-1021.00,1.83,1.86,-0.03,-0.0161290322581,"Computer Science Teachers, Postsecondary"
47-4011.00,1.71,1.74,-0.03,-0.0172413793103,Construction and Building Inspectors
43-9061.00,2.28,2.32,-0.04,-0.0172413793103,"Office Clerks, General"
31-2012.00,1.48,1.51,-0.03,-0.0198675496689,Occupational Therapy Aides
43-6013.00,2.45,2.5,-0.05,-0.02,Medical Secretaries
43-5032.00,2.8,2.86,-0.06,-0.020979020979,"Dispatchers, Except Police, Fire, and Ambulance"
11-1021.00,2.27,2.32,-0.05,-0.0215517241379,General and Operations Managers
13-1023.00,3.15,3.22,-0.07,-0.0217391304348,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
29-9012.00,2.23,2.28,-0.05,-0.0219298245614,Occupational Health and Safety Technicians
27-2023.00,1.33,1.36,-0.03,-0.0220588235294,"Umpires, Referees, and Other Sports Officials"
11-3051.00,2.21,2.26,-0.05,-0.0221238938053,Industrial Production Managers
47-2181.00,2.06,2.11,-0.05,-0.0236966824645,Roofers
11-9021.00,2.04,2.09,-0.05,-0.0239234449761,Construction Managers
51-4121.07,2.0,2.05,-0.05,-0.0243902439024,Solderers and Brazers
19-1021.00,2.36,2.42,-0.06,-0.0247933884298,Biochemists and Biophysicists
53-7021.00,2.13,2.19,-0.06,-0.027397260274,Crane and Tower Operators
53-2011.00,3.45,3.55,-0.1,-0.0281690140845,"Airline Pilots, Copilots, and Flight Engineers"
25-1193.00,2.04,2.1,-0.06,-0.0285714285714,"Recreation and Fitness Studies Teachers, Postsecondary"
25-1067.00,1.7,1.75,-0.05,-0.0285714285714,"Sociology Teachers, Postsecondary"
29-1061.00,2.35,2.42,-0.07,-0.0289256198347,Anesthesiologists
25-1054.00,1.6,1.65,-0.05,-0.030303030303,"Physics Teachers, Postsecondary"
17-2111.01,2.23,2.3,-0.07,-0.0304347826087,Industrial Safety and Health Engineers
29-2051.00,2.11,2.18,-0.07,-0.0321100917431,Dietetic Technicians
51-9082.00,1.78,1.84,-0.06,-0.0326086956522,Medical Appliance Technicians
19-2043.00,2.0,2.07,-0.07,-0.0338164251208,Hydrologists
47-2151.00,1.89,1.96,-0.07,-0.0357142857143,Pipelayers
11-9033.00,2.15,2.23,-0.08,-0.0358744394619,"Education Administrators, Postsecondary"
51-1011.00,2.55,2.65,-0.1,-0.0377358490566,First-Line Supervisors of Production and Operating Workers
29-2054.00,2.28,2.37,-0.09,-0.0379746835443,Respiratory Therapy Technicians
49-2094.00,2.85,2.97,-0.12,-0.040404040404,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
39-2021.00,1.36,1.42,-0.06,-0.0422535211268,Nonfarm Animal Caretakers
35-9031.00,2.01,2.1,-0.09,-0.0428571428571,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
25-1066.00,1.54,1.61,-0.07,-0.0434782608696,"Psychology Teachers, Postsecondary"
15-2041.00,2.28,2.39,-0.11,-0.0460251046025,Statisticians
43-5061.00,2.58,2.71,-0.13,-0.0479704797048,"Production, Planning, and Expediting Clerks"
13-2021.02,2.75,2.89,-0.14,-0.0484429065744,"Appraisers, Real Estate"
35-2014.00,1.76,1.85,-0.09,-0.0486486486486,"Cooks, Restaurant"
43-4031.02,2.53,2.66,-0.13,-0.0488721804511,Municipal Clerks
41-2021.00,2.49,2.62,-0.13,-0.0496183206107,Counter and Rental Clerks
47-2073.00,1.9,2.0,-0.1,-0.05,Operating Engineers and Other Construction Equipment Operators
53-3033.00,1.97,2.08,-0.11,-0.0528846153846,Light Truck or Delivery Services Drivers
33-2021.02,2.3,2.43,-0.13,-0.0534979423868,Fire Investigators
41-4011.00,2.16,2.29,-0.13,-0.056768558952,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
23-1022.00,1.61,1.71,-0.1,-0.0584795321637,"Arbitrators, Mediators, and Conciliators"
25-1111.00,1.9,2.02,-0.12,-0.0594059405941,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
39-6011.00,2.84,3.02,-0.18,-0.0596026490066,Baggage Porters and Bellhops
27-1023.00,1.73,1.84,-0.11,-0.0597826086957,Floral Designers
17-2112.00,2.04,2.17,-0.13,-0.0599078341014,Industrial Engineers
49-9094.00,2.0,2.13,-0.13,-0.0610328638498,Locksmiths and Safe Repairers
43-4111.00,2.61,2.78,-0.17,-0.0611510791367,"Interviewers, Except Eligibility and Loan"
47-5013.00,2.11,2.26,-0.15,-0.0663716814159,"Service Unit Operators, Oil, Gas, and Mining"
51-4031.00,2.76,2.96,-0.2,-0.0675675675676,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
29-1199.04,1.38,1.48,-0.1,-0.0675675675676,Naturopathic Physicians
51-4122.00,2.2,2.36,-0.16,-0.0677966101695,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
19-2011.00,1.78,1.91,-0.13,-0.0680628272251,Astronomers
49-3092.00,1.21,1.3,-0.09,-0.0692307692308,Recreational Vehicle Service Technicians
49-1011.00,2.41,2.6,-0.19,-0.0730769230769,"First-Line Supervisors of Mechanics, Installers, and Repairers"
